timestamp,log_type,message,stacktrace
750.036,Log,rightTurn was pressed.,
756.7177,Log,rightTurn was pressed.,
757.2343,Log,rightTurn was pressed.,
758.1674,Log,rightTurn was pressed.,
761.2166,Log,Confirm button pressed: trial24,
761.9497,Log,rightTurn was pressed.,
763.2161,Log,rightTurn was pressed.,
763.6826,Log,rightTurn was pressed.,
765.5488,Log,rightTurn was pressed.,
768.6148,Log,forwardKey was pressed.,
769.3812,Log,forwardKey was pressed.,
769.5812,Log,rightTurn was pressed.,
770.0477,Log,rightTurn was pressed.,
770.7809,Log,forwardKey was pressed.,
772.06,Log,Object Picked Up!,
772.06,Log,End of trial 24,
772.06,Log,Start of ITI period of trial24,
773.1303,Log,End of ITI period of trial24,
773.1303,Log,Cue start of trial 25,
775.1466,Log,Cue end of trial 25,
775.1466,Log,Start of delay period of trial 25,
779.1622,Log,End of delay period of trial 25,
779.5955,Log,leftTurn was pressed.,
783.5279,Log,leftTurn was pressed.,
783.8945,Log,forwardKey was pressed.,
785.0775,Log,forwardKey was pressed.,
785.3774,Log,leftTurn was pressed.,
786.4771,Log,leftTurn was pressed.,
787.127,Log,rightTurn was pressed.,
792.459,Log,rightTurn was pressed.,
792.7422,Log,leftTurn was pressed.,
800.0238,Log,leftTurn was pressed.,
800.4403,Log,forwardKey was pressed.,
802.6065,Log,forwardKey was pressed.,
802.973,Log,rightTurn was pressed.,
809.988,Log,rightTurn was pressed.,
813.1372,Log,Confirm button pressed: trial25,
813.8704,Log,leftTurn was pressed.,
818.2193,Log,leftTurn was pressed.,
819.569,Log,leftTurn was pressed.,
819.8856,Log,leftTurn was pressed.,
820.2189,Log,forwardKey was pressed.,
822.1184,Log,forwardKey was pressed.,
822.4349,Log,rightTurn was pressed.,
822.7682,Log,rightTurn was pressed.,
823.0348,Log,forwardKey was pressed.,
826.1174,Log,forwardKey was pressed.,
828.8334,Log,forwardKey was pressed.,
829.9831,Log,forwardKey was pressed.,
830.2497,Log,rightTurn was pressed.,
830.5163,Log,rightTurn was pressed.,
831.9825,Log,forwardKey was pressed.,
834.06,Log,Object Picked Up!,
834.06,Log,End of trial 25,
834.06,Log,Start of ITI period of trial25,
835.1318,Log,End of ITI period of trial25,
835.1318,Log,Cue start of trial 26,
837.1647,Log,Cue end of trial 26,
837.1647,Log,Start of delay period of trial 26,
841.1804,Log,End of delay period of trial 26,
